what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1462441581211
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1462441581219
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1462441581220
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1462441581220
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1462441581221
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1462441581221
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1462441581222
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1462441581241
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1462441581241
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1462441581242
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1462441581251
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1462441581252
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1462441581256
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1462441581257
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1462441581258
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1462441581265
started,bundle,com.android.ide.eclipse.base,23.0.7.2120684,"com.android.ide.eclipse.base",1462441581266
os,sysinfo,,,"win32",1462441581268
arch,sysinfo,,,"x86_64",1462441581268
ws,sysinfo,,,"win32",1462441581268
locale,sysinfo,,,"en_US",1462441581268
processors,sysinfo,,,"4",1462441581268
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1462441581268
java.runtime.version,sysinfo,,,"1.7.0_79-b15",1462441581268
java.specification.name,sysinfo,,,"Java Platform API Specification",1462441581268
java.specification.vendor,sysinfo,,,"Oracle Corporation",1462441581268
java.specification.version,sysinfo,,,"1.7",1462441581268
java.vendor,sysinfo,,,"Oracle Corporation",1462441581268
java.version,sysinfo,,,"1.7.0_79",1462441581268
java.vm.info,sysinfo,,,"mixed mode",1462441581268
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1462441581268
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1462441581268
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1462441581268
java.vm.specification.version,sysinfo,,,"1.7",1462441581268
java.vm.vendor,sysinfo,,,"Oracle Corporation",1462441581268
java.vm.version,sysinfo,,,"24.79-b02",1462441581268
started,bundle,org.eclipse.jdt.core,3.7.3.v20120119-1537,"org.eclipse.jdt.core",1462441581480
started,bundle,com.android.ide.eclipse.adt,23.0.7.2120684,"com.android.ide.eclipse.adt",1462441581836
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1462441581871
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1462441581958
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1462441581958
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1462441581998
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1462441582151
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1462441582262
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1462441582335
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1462441582568
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1462441582745
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1462441583064
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1462441583064
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1462441583064
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1462441583074
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1462441583142
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1462441583937
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1462441590532
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ResourceNavigator",1462441594776
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ResourceNavigator",1462441594848
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1462441594925
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110928-1453,"org.eclipse.jdt.core.manipulation",1462441595050
started,bundle,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui",1462441595082
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1462441595132
started,bundle,org.eclipse.jdt.launching,3.6.1.v20111006_r372,"org.eclipse.jdt.launching",1462441595161
started,bundle,org.testng.eclipse,6.9.9.201510270734,"org.testng.eclipse",1462441596220
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1462441597317
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1462441597328
